Закарпатська область          ,134.6783295711060948
Чернівецька область           ,136.3951841359773371
Миколаївська область          ,138.1707317073170732
Луганська область             ,138.6604938271604938
Херсонська область            ,138.6767554479418886
Одеська область               ,139.0929203539823009
Запорізька область            ,139.3520569620253165
Дніпропетровська область      ,139.5081300813008130
Донецька область              ,140.1698275862068966
Рівненська область            ,140.2880434782608696
Кіровоградська область        ,140.4660766961651917
Сумська область               ,140.5036855036855037
Хмельницька область           ,140.6415730337078652
Івано-Франківська область     ,141.2298747763864043
Полтавська область            ,141.4457720588235294
Черкаська область             ,141.6320293398533007
Вінницька область             ,141.7191011235955056
Чернігівська область          ,141.9842406876790831
Київська область              ,142.4194352159468439
Волинська область             ,142.6541582150101420
Тернопільська область         ,142.9852579852579853
Житомирська область           ,143.1190987124463519
Харківська область            ,144.7607581967213115
Львівська область             ,149.5056669572798605
м.Київ                        ,150.2181751287711553
