Закарпатська область          ,134.1914414414414414
Чернівецька область           ,135.5754189944134078
Луганська область             ,136.1000000000000000
Одеська область               ,136.8811764705882353
Миколаївська область          ,138.1868686868686869
Сумська область               ,139.2450980392156863
Херсонська область            ,139.3181818181818182
Дніпропетровська область      ,140.0008417508417508
Донецька область              ,140.0912162162162162
Запорізька область            ,140.3141993957703927
Хмельницька область           ,140.3947368421052632
Чернігівська область          ,140.4705882352941176
Кіровоградська область        ,140.4727272727272727
Рівненська область            ,140.8319327731092437
Вінницька область             ,141.2885906040268456
Черкаська область             ,141.4898989898989899
Волинська область             ,141.8837209302325581
Івано-Франківська область     ,142.4564459930313589
Полтавська область            ,142.5555555555555556
Київська область              ,142.6483333333333333
Тернопільська область         ,143.3389423076923077
Житомирська область           ,144.2548543689320388
Харківська область            ,144.7752016129032258
Львівська область             ,149.3161397670549085
м.Київ                        ,151.0783582089552239
